,timestamp,transacao_id,data,valor,bandeira,banco_emissor,mensagem_processamento,status_transacao,reference_month,part_of_day,year,month,day,day_name,hour,minutes
28,2024-01-15 12:15:41,a041-bbf3b62ffa7a,1705320941833,300,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
29,2024-01-15 12:15:40,bc9d-b682eefb5844,1705320940970,20889,MASTERCARD,BANCO SANTANDER (BRASIL) S.A.,NAO AUTORIZADA,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
30,2024-01-15 12:15:40,9b61-bc61269aed14,1705320940956,13940,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
31,2024-01-15 12:15:40,82cc-16b67d8684af,1705320940615,180000,MASTERCARD,ITAU UNIBANCO S.A.,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
32,2024-01-15 12:15:40,a51a-6d4adc3056c9,1705320940033,38328,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
33,2024-01-15 12:15:39,9875-4f8d15b46a71,1705320939259,24227,MASTERCARD,FORTBRASIL INSTITUIC?O DE PAGA,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
34,2024-01-15 12:15:38,a137-f77d3ea7bf13,1705320938592,100000,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
35,2024-01-15 12:15:38,a321-8d538fabc6f7,1705320938206,17790,MASTERCARD,BANCO SANTANDER (BRASIL) S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
36,2024-01-15 12:15:37,ae82-08bd859eabf7,1705320937847,1990,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
37,2024-01-15 12:15:37,9ba2-1ea455c9e6c7,1705320937610,495,VISA,BANCO BRADESCO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
38,2024-01-15 12:15:37,a6d4-b20c81a63e80,1705320937118,1990,MASTERCARD,BANCO C6 S.A.,NAO AUTORIZADA - TENTE NOVAMENTE MAIS TARDE,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
39,2024-01-15 12:15:37,9a3f-6216c421cc34,1705320937074,13240,MASTERCARD,NU PAGAMENTOS S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
40,2024-01-15 12:15:36,8f43-71f9233163ee,1705320936651,23000,VISA,BANCO DIGIO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
41,2024-01-15 12:15:36,97b4-e4490c33f435,1705320936424,12450,VISA,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
42,2024-01-15 12:15:36,b6fd-78b0612d290e,1705320936183,100,VISA,BANCO DO BRASIL S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
43,2024-01-15 12:15:35,a717-bd8ab6ea997e,1705320935977,698,MASTERCARD,BANCO C6 S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
44,2024-01-15 12:15:35,a9d4-4859d013eccb,1705320935833,3840,MASTERCARD,NU PAGAMENTOS S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
45,2024-01-15 12:15:35,9cb5-948fee99dd23,1705320935389,100000,ELO,FACTA FINANCEIRA S.A. CREDITO FINAN E INVE,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
